iter	Logloss
0	0.6789890355
1	0.6658318085
2	0.6536460939
3	0.6426290976
4	0.6325492944
5	0.6231971224
6	0.6139681422
7	0.6068223458
8	0.5987001921
9	0.5923439543
10	0.5860959319
11	0.57992164
12	0.5744341906
13	0.5688139176
14	0.5631666194
15	0.5584306444
16	0.5537566614
17	0.5494182745
18	0.5450516828
19	0.5401898924
20	0.5362739458
21	0.5328802161
22	0.5297890776
23	0.5265464778
24	0.522938377
25	0.5202382638
26	0.516242888
27	0.5134647553
28	0.5107116979
29	0.5082102988
30	0.5053225426
31	0.5033414419
32	0.5012616777
33	0.4981063994
34	0.4958014757
35	0.4934975777
36	0.4914609485
37	0.4886563474
38	0.4871727799
39	0.4856370574
40	0.4837314482
41	0.4819238509
42	0.4802425756
43	0.4781821457
44	0.4766291069
45	0.4747899799
46	0.4730434807
47	0.4718416918
48	0.4706040105
49	0.4689105601
50	0.4677293015
51	0.4662529638
52	0.4647229651
53	0.4637286739
54	0.4627102841
55	0.4613259996
56	0.4602981075
57	0.4589979585
58	0.4578229254
59	0.4569790618
60	0.4561246959
61	0.4552425101
62	0.454273738
63	0.4535198313
64	0.4527783447
65	0.4519290122
66	0.4509456729
67	0.4500159415
68	0.4493818209
69	0.4485881638
70	0.4477380628
71	0.4471453522
72	0.4464645157
73	0.4457735615
74	0.4449153527
75	0.4443538136
76	0.4437928234
77	0.44319484
78	0.4425066202
79	0.441909852
80	0.4412944092
81	0.4407490515
82	0.4397985347
83	0.4393195026
84	0.4386205656
85	0.4379631188
86	0.4366708411
87	0.4362376679
88	0.4358353444
89	0.4353462291
90	0.4346850285
91	0.4340811427
92	0.4336423224
93	0.433069692
94	0.432574875
95	0.4321069993
96	0.4317067464
97	0.4311306897
98	0.43069878
99	0.4302994386
100	0.4292370652
101	0.4288027765
102	0.4282684452
103	0.4278481173
104	0.4274113889
105	0.4269079616
106	0.4264612315
107	0.4260395204
108	0.4257788804
109	0.4254251213
110	0.4250271196
111	0.4246340583
112	0.4242370741
113	0.4238568647
114	0.4234971891
115	0.4231489153
116	0.4224719573
117	0.4220917851
118	0.4216878917
119	0.4212980672
120	0.4207841686
121	0.4205186182
122	0.4202325063
123	0.4199010238
124	0.4196342936
125	0.419236461
126	0.4187338576
127	0.418431539
128	0.418185837
129	0.4177833399
130	0.417428724
131	0.4171951105
132	0.4169298407
133	0.4165686672
134	0.4161927569
135	0.415847709
136	0.4155081188
137	0.4152675911
138	0.4149873898
139	0.4147599832
140	0.4143242638
141	0.4137695495
142	0.4135152231
143	0.4132283042
144	0.4129979196
145	0.4128119382
146	0.4124953506
147	0.4122711867
148	0.4120260178
149	0.4118092774
150	0.411528152
151	0.4112954889
152	0.4108838753
153	0.410671155
154	0.4104076136
155	0.4102125989
156	0.409967288
157	0.4097780732
158	0.4095007811
159	0.4092826297
160	0.4090526171
161	0.4088188702
162	0.4086678065
163	0.4080304945
164	0.4077791723
165	0.407551783
166	0.407152733
167	0.4069654329
168	0.4066938793
169	0.406421877
170	0.4062265553
171	0.4059791418
172	0.4057573296
173	0.4052831614
174	0.4050823018
175	0.4049203886
176	0.4046688942
177	0.404477825
178	0.4042642015
179	0.4036657532
180	0.4033903715
